,year,State_Abbr,O3_Units_min,O3_Mean_min,O3_Units_max,O3_Mean_max,O3_Mean
0,2013,AL,Parts per million,0.0,Parts per million,0.026333,0.012098838709677418
1,2013,AR,Parts per million,0.003292,Parts per million,0.049,0.025577408219178237
2,2013,AZ,Parts per million,0.002,Parts per million,0.05975,0.027972658859470517
3,2013,CA,Parts per million,0.0,Parts per million,0.071167,0.026075109424697252
4,2013,CO,Parts per million,8.3e-05,Parts per million,0.0571,0.02870908857142863
5,2013,CT,Parts per million,0.000958,Parts per million,0.06725,0.03119489900110986
6,2013,DC,Parts per million,0.000125,Parts per million,0.055917,0.025496665141113647
7,2013,DE,Parts per million,0.001667,Parts per million,0.047833,0.02894067441860465
8,2013,FL,Parts per million,0.008583,Parts per million,0.049042,0.026027166197183094
9,2013,GA,Parts per million,0.002875,Parts per million,0.04725,0.01970937463976941
10,2013,HI,Parts per million,0.009333,Parts per million,0.046042,0.028246048262548444
11,2013,IA,Parts per million,0.004208,Parts per million,0.051875,0.02833460697887972
12,2013,IL,Parts per million,0.001,Parts per million,0.053417,0.023803281481481482
13,2013,IN,Parts per million,0.006999999999999999,Parts per million,0.054583000000000007,0.028499262396694227
14,2013,KS,Parts per million,0.003292,Parts per million,0.055417,0.02520611688311686
15,2013,KY,Parts per million,0.003875,Parts per million,0.029,0.015324060975609744
16,2013,LA,Parts per million,0.002167,Parts per million,0.047792,0.023653811111111093
17,2013,MA,Parts per million,0.000857,Parts per million,0.053,0.021579115819209065
18,2013,MD,Parts per million,0.001667,Parts per million,0.057417,0.025451766423357683
19,2013,ME,Parts per million,0.006458,Parts per million,0.049125,0.0271525420466059
20,2013,MO,Parts per million,0.006583,Parts per million,0.043292,0.024121720930232543
21,2013,NC,Parts per million,0.002389,Parts per million,0.055714,0.02543567329545452
22,2013,ND,Parts per million,0.006412,Parts per million,0.055708000000000014,0.029309844000000033
23,2013,NJ,Parts per million,0.0,Parts per million,0.054208000000000006,0.024276122052704595
24,2013,NM,Parts per million,0.007917,Parts per million,0.060083,0.03306059414225943
25,2013,NV,Parts per million,0.00025,Parts per million,0.057625,0.02811684637681157
