Asthma Sample Size,Asthma Prevalence (%),Standard Error,95% CI* (%),Year
4564.0,14.8,0.83,(13.2 – 16.4),2013
4375.0,12.4,0.7,(11.1 – 13.8),2014
3642.0,13.4,1.02,(11.4 – 15.4),2015
2906.0,14.2,1.08,(12.1–16.4),2016
6484.0,13.6,0.61,(12.4 – 14.8),2013
8620.0,14.6,0.56,(13.5 – 15.7),2014
7924.0,15.6,0.58,(14.5 – 16.8),2015
7015.0,14.9,0.6,(13.8–16.1),2016
5248.0,13.1,0.69,(11.8 – 14.5),2013
5245.0,13.3,0.74,(11.9 – 14.8),2014
5234.0,16.1,0.96,(14.2 – 18.0),2015
5279.0,14.3,0.91,(12.6–16.1),2016
4236.0,14.6,0.9,(12.9 – 16.4),2013
14821.0,14.3,0.49,(13.3 – 15.3),2014
7912.0,15.7,0.61,(14.5 – 16.9),2015
10903.0,14.6,0.57,(13.5–15.7),2016
11500.0,14.4,0.44,(13.5 – 15.2),2013
8806.0,12.7,0.44,(11.8 – 13.5),2014
12568.0,12.9,0.39,(12.1 – 13.6),2015
11370.0,12.8,0.39,(12.1–13.6),2016
13608.0,13.5,0.4,(12.7 – 14.3),2013
13363.0,12.2,0.38,(11.5 – 13.0),2014
13504.0,13.9,0.49,(13.0 – 14.9),2015
14908.0,13.7,0.39,(13.0–14.5),2016
7681.0,16.6,0.65,(15.3 – 17.9),2013
7927.0,14.1,0.57,(13.0 – 15.2),2014
11848.0,16.4,0.5,(15.4 – 17.4),2015
11000.0,15.6,0.51,(14.6–16.6),2016
4918.0,17.5,0.98,(15.6 – 19.4),2013
4053.0,17.2,1.13,(15.0 – 19.5),2014
3978.0,17.1,1.24,(14.6 – 19.5),2015
3837.0,15.2,0.81,(13.6–16.8),2016
5188.0,15.4,0.72,(14.0 – 16.8),2013
4288.0,14.4,0.8,(12.8 – 15.9),2014
4054.0,14.4,0.87,(12.7 – 16.1),2015
4046.0,12.8,0.73,(11.3–14.2),2016
34072.0,13.5,0.43,(12.7 – 14.4),2013
9792.0,12.2,0.46,(11.2 – 13.1),2014
9712.0,12.5,0.48,(11.6 – 13.5),2015
36846.0,11.0,0.34,(10.4–11.7),2016
8116.0,14.0,0.54,(13.0 – 15.1),2013
6330.0,13.8,0.62,(12.6 – 15.0),2014
4669.0,14.3,0.73,(12.8 – 15.7),2015
5361.0,13.4,0.65,(12.1–14.6),2016
7840.0,16.6,0.64,(15.3 – 17.8),2013
7221.0,16.2,0.64,(14.9 – 17.5),2014
7143.0,16.8,0.64,(15.5 – 18.0),2015
8069.0,17.3,0.61,(16.1–18.5),2016
8132.0,12.2,0.51,(11.1 – 13.2),2013
8100.0,13.2,0.54,(12.1 – 14.2),2014
6204.0,12.2,0.57,(11.1 – 13.3),2015
7244.0,12.1,0.53,(11.1–13.1),2016
5615.0,12.9,0.66,(11.6 – 14.2),2013
5469.0,12.3,0.63,(11.1 – 13.6),2014
5788.0,13.7,0.69,(12.3 – 15.0),2015
5251.0,12.6,0.68,(11.3–14.0),2016
5603.0,12.0,0.61,(10.8 – 13.2),2013
5044.0,14.0,0.65,(12.7 – 15.3),2014
5280.0,13.6,0.61,(12.4 – 14.8),2015
4757.0,14.2,0.66,(12.9–15.5),2016
10305.0,15.3,0.5,(14.3 – 16.3),2013
11489.0,14.6,0.46,(13.7 – 15.5),2014
6049.0,14.8,0.7,(13.4 – 16.1),2015
11048.0,14.4,0.51,(13.4–15.4),2016
23205.0,13.4,0.29,(12.8 – 14.0),2013
13698.0,13.6,0.36,(12.9 – 14.3),2014
23158.0,13.5,0.29,(12.9 – 14.1),2015
12149.0,13.1,0.4,(12.3–13.9),2016
10978.0,14.2,0.52,(13.2 – 15.2),2013
11164.0,16.9,0.63,(15.6 – 18.1),2014
8785.0,17.7,0.74,(16.3 – 19.2),2015
10227.0,15.2,0.53,(14.2–16.3),2016
5237.0,12.3,0.74,(10.8 – 13.7),2013
6763.0,12.5,0.51,(11.5 – 13.5),2014
4702.0,14.6,0.73,(13.2 – 16.0),2015
5237.0,14.2,0.83,(12.6–15.9),2016
15033.0,16.8,0.52,(15.8 – 17.8),2013
15589.0,17.6,0.5,(16.6 – 18.6),2014
9250.0,15.5,0.52,(14.5 – 16.5),2015
8385.0,15.3,0.56,(14.2–16.4),2016
12972.0,13.9,0.51,(12.9 – 14.9),2013
12527.0,13.5,0.59,(12.3 – 14.6),2014
12552.0,13.9,0.66,(12.6 – 15.2),2015
18413.0,14.0,0.4,(13.2–14.8),2016
8075.0,16.2,0.56,(15.1 – 17.3),2013
9106.0,16.4,0.55,(15.3 – 17.5),2014
9045.0,15.7,0.58,(14.6 – 16.9),2015
10004.0,16.7,0.6,(15.5–17.8),2016
12697.0,16.6,0.47,(15.7 – 17.5),2013
8440.0,15.3,0.51,(14.3 – 16.4),2014
8892.0,15.7,0.5,(14.7 – 16.7),2015
11984.0,16.3,0.45,(15.4–17.1),2016
14297.0,11.9,0.5,(10.9 – 12.8),2013
16380.0,11.8,0.32,(11.2 – 12.5),2014
16710.0,11.1,0.31,(10.5 – 11.7),2015
16770.0,11.2,0.3,(10.6–11.8),2016
7086.0,15.7,0.69,(14.3 – 17.0),2013
