,State,Sample Size §,Prevalence (percent),Standard Error,95% CI* (percent),|| || ||,Prevalence (number),95% CI* (number)
0,U.S. Total**,476217.0,13.6,0.1,(13.4–13.8),||,34013124.0,"(33,498,463–34,527,785)"
1,AL,7015.0,14.9,0.6,(13.8–16.1),||,563908.0,"(518,048–609,768)"
2,AK,2906.0,14.2,1.08,(12.1–16.4),||,78995.0,"(67,042–90,948)"
3,AZ,10903.0,14.6,0.57,(13.5–15.7),||,771201.0,"(709,808–832,595)"
4,AR,5279.0,14.3,0.91,(12.6–16.1),||,327559.0,"(285,053–370,066)"
5,CA,11370.0,12.8,0.39,(12.1–13.6),||,3895034.0,"(3,657,836–4,132,232)"
6,CO,14908.0,13.7,0.39,(13.0–14.5),||,589829.0,"(556,091–623,567)"
7,CT,11000.0,15.6,0.51,(14.6–16.6),||,441072.0,"(411,103–471,040)"
8,DE,4046.0,12.8,0.73,(11.3–14.2),||,95852.0,"(84,895–106,808)"
9,DC,3837.0,15.2,0.81,(13.6–16.8),||,85143.0,"(75,898–94,388)"
10,FL,36846.0,11.0,0.34,(10.4–11.7),||,1824452.0,"(1,711,601–1,937,302)"
11,GA,5361.0,13.4,0.65,(12.1–14.6),||,1046849.0,"(943,660–1,150,039)"
12,HI,8069.0,17.3,0.61,(16.1–18.5),||,195278.0,"(181,215–209,341)"
13,ID,5251.0,12.6,0.68,(11.3–14.0),||,157454.0,"(140,426–174,482)"
14,IL,4757.0,14.2,0.66,(12.9–15.5),||,1404283.0,"(1,271,160–1,537,406)"
15,IN,11048.0,14.4,0.51,(13.4–15.4),||,732560.0,"(680,484–784,636)"
16,IA,7244.0,12.1,0.53,(11.1–13.1),||,292395.0,"(266,696–318,095)"
17,KS,12149.0,13.1,0.4,(12.3–13.9),||,287869.0,"(270,186–305,552)"
18,KY,10227.0,15.2,0.53,(14.2–16.3),||,521729.0,"(485,482–557,977)"
19,LA,5237.0,14.2,0.83,(12.6–15.9),||,509511.0,"(448,397–570,624)"
20,ME,10004.0,16.7,0.6,(15.5–17.8),||,179296.0,"(166,040–192,552)"
21,MD,18413.0,14.0,0.4,(13.2–14.8),||,656436.0,"(618,618–694,253)"
22,MA,8385.0,15.3,0.56,(14.2–16.4),||,832899.0,"(771,463–894,335)"
23,MI,11984.0,16.3,0.45,(15.4–17.1),||,1257783.0,"(1,187,774–1,327,792)"
24,MN,16770.0,11.2,0.3,(10.6–11.8),||,473375.0,"(447,735–499,015)"
25,MS,5112.0,12.7,0.65,(11.4–14.0),||,287173.0,"(257,567–316,779)"
26,MO,7097.0,14.4,0.69,(13.1–15.8),||,680511.0,"(613,601–747,421)"
27,MT,5954.0,12.8,0.62,(11.6–14.0),||,104638.0,"(94,650–114,626)"
28,NE,15144.0,12.4,0.47,(11.5–13.3),||,178771.0,"(165,046–192,495)"
29,NV,4329.0,11.6,0.73,(10.2–13.0),||,263892.0,"(230,553–297,231)"
30,NH,6391.0,16.4,0.72,(15.0–17.8),||,176137.0,"(160,082–192,193)"
31,NJ,7640.0,12.0,0.61,(10.8–13.2),||,838632.0,"(751,565–925,699)"
32,NM,6008.0,16.3,0.75,(14.9–17.8),||,258385.0,"(234,241–282,529)"
33,NY,34113.0,13.8,0.37,(13.1–14.5),||,2153806.0,"(2,038,429–2,269,184)"
34,NC,6523.0,12.5,0.51,(11.4–13.5),||,980147.0,"(899,231–1,061,063)"
35,ND,5734.0,12.8,0.62,(11.6–14.0),||,75615.0,"(68,177–83,054)"
36,OH,12350.0,14.0,0.52,(13.0–15.0),||,1262909.0,"(1,167,860–1,357,957)"
37,OK,6855.0,14.1,0.6,(12.9–15.3),||,417262.0,"(381,312–453,213)"
38,OR,5421.0,17.2,0.63,(15.9–18.4),||,551646.0,"(510,196–593,097)"
39,PA,6791.0,14.8,0.58,(13.7–15.9),||,1499882.0,"(1,381,996–1,617,768)"
40,RI,5441.0,15.8,0.72,(14.4–17.2),||,133893.0,"(121,633–146,152)"
41,SC,11209.0,13.4,0.47,(12.5–14.3),||,518111.0,"(481,786–554,436)"
42,SD,5752.0,9.3,0.63,(8.0–10.5),||,60515.0,"(52,435–68,596)"
43,TN,6150.0,16.1,0.72,(14.7–17.5),||,832761.0,"(756,632–908,890)"
44,TX,11683.0,12.5,0.59,(11.3–13.6),||,2594843.0,"(2,352,023–2,837,663)"
45,UT,10947.0,13.8,0.46,(12.9–14.7),||,293926.0,"(274,435–313,416)"
46,VT,6518.0,15.6,0.62,(14.3–16.8),||,78778.0,"(72,404–85,153)"
47,VA,8964.0,13.3,0.49,(12.4–14.3),||,874713.0,"(810,360–939,066)"
48,WA,14210.0,14.9,0.4,(14.2–15.7),||,843964.0,"(798,746–889,182)"
49,WV,7125.0,16.2,0.55,(15.1–17.3),||,236583.0,"(220,081–253,085)"
50,WI,5260.0,11.8,0.61,(10.6–13.0),||,532255.0,"(477,306–587,203)"
51,WY,4487.0,13.9,0.86,(12.2–15.6),||,62611.0,"(54,696–70,526)"
52,Territories,,,,,,,
53,GU,1575.0,9.8,1.11,(7.7–12.0),||,10490.0,"(8,114–12,866)"
54,PR,5791.0,17.5,0.73,(16.1–18.9),||,490220.0,"(448,028–532,413)"
55,VI,1261.0,10.4,1.5,(7.5–13.3),||,8237.0,"(5,809–10,664)"
